01. Ano,02. Nome Região (Portugal),03. Âmbito Geográfico,04. Filtro 1,05. Filtro 2,06. Filtro 3,07. Escala,08. Símbolo,09. Valor
2011,Cinfães,Município,Total,,,,,56
2011,Coimbra,Município,T0 ou T1,,,,,101
2011,Coimbra,Município,T2,,,,,205
2011,Coimbra,Município,T3,,,,,259
2011,Coimbra,Município,T4 ou mais,,,,,161
2011,Coimbra,Município,Total,,,,,726
2011,Condeixa-a-Nova,Município,T0 ou T1,,,,,0
2011,Condeixa-a-Nova,Município,T2,,,,,3
2011,Condeixa-a-Nova,Município,T3,,,,,38
2011,Condeixa-a-Nova,Município,T4 ou mais,,,,,10
2011,Condeixa-a-Nova,Município,Total,,,,,51
2011,Constância,Município,T0 ou T1,,,,,0
2011,Constância,Município,T2,,,,,0
2011,Constância,Município,T3,,,,,3
2011,Constância,Município,T4 ou mais,,,,,2
2011,Constância,Município,Total,,,,,5
2011,Coruche,Município,T0 ou T1,,,,,1
2011,Coruche,Município,T2,,,,,2
2011,Coruche,Município,T3,,,,,14
2011,Coruche,Município,T4 ou mais,,,,,0
2011,Coruche,Município,Total,,,,,17
2011,Corvo,Município,T0 ou T1,,,,,0
2011,Corvo,Município,T2,,,,,0
2011,Corvo,Município,T3,,,,,0
2011,Corvo,Município,T4 ou mais,,,,,0
2011,Corvo,Município,Total,,,,,0
2011,Covilhã,Município,T0 ou T1,,,,,3
2011,Covilhã,Município,T2,,,,,11
2011,Covilhã,Município,T3,,,,,34
2011,Covilhã,Município,T4 ou mais,,,,,30
2011,Covilhã,Município,Total,,,,,78
2011,Crato,Município,T0 ou T1,,,,,0
2011,Crato,Município,T2,,,,,0
2011,Crato,Município,T3,,,,,0
2011,Crato,Município,T4 ou mais,,,,,1
2011,Crato,Município,Total,,,,,1
2011,Cuba,Município,T0 ou T1,,,,,0
2011,Cuba,Município,T2,,,,,2
2011,Cuba,Município,T3,,,,,16
2011,Cuba,Município,T4 ou mais,,,,,6
2011,Cuba,Município,Total,,,,,24
2011,Elvas,Município,T0 ou T1,,,,,2
2011,Elvas,Município,T2,,,,,10
2011,Elvas,Município,T3,,,,,12
2011,Elvas,Município,T4 ou mais,,,,,6
2011,Elvas,Município,Total,,,,,30
2011,Entroncamento,Município,T0 ou T1,,,,,0
2011,Entroncamento,Município,T2,,,,,11
2011,Entroncamento,Município,T3,,,,,48
2011,Entroncamento,Município,T4 ou mais,,,,,36
